DATE,LEVEL
12/31/93,100
1/31/94,101.14
2/28/94,97
3/31/94,93.53999
4/29/94,91.90999
4/30/94,91.91
5/31/94,93.96001
6/30/94,93.2
7/29/94,93.53
7/31/94,93.53
8/31/94,96.12
9/30/94,96.75999
10/31/94,95.45
11/30/94,95.84
12/30/94,95.64
12/31/94,95.64
1/31/95,93.75999
2/28/95,94.17999
3/31/95,97.46001
4/28/95,98.87
4/30/95,98.87
5/31/95,99.87
6/30/95,100.24
7/31/95,103.01
8/31/95,109.19
9/28/95,109.6
9/29/95,109.6
9/30/95,109.6
10/31/95,109.48
11/30/95,112.92
12/29/95,116.38
12/31/95,116.38
1/31/96,124.49
2/29/96,120.02
3/29/96,121.29
3/31/96,121.29
4/30/96,125.07
5/31/96,127.48
6/28/96,129.7
6/30/96,129.7
7/31/96,124.34
8/29/96,127.42
8/30/96,127.42
8/31/96,127.42
9/30/96,130.61
10/31/96,134.99
11/28/96,141.8
11/29/96,141.8
11/30/96,141.8
12/31/96,142.24
1/31/97,150.04
2/28/97,151.99
3/31/97,149.84
4/30/97,154.12
5/30/97,155.48
5/31/97,155.48
6/30/97,158.99
7/31/97,170.11
8/29/97,167.97
8/31/97,167.97
9/30/97,174.68
10/31/97,171.82
11/28/97,173.54
11/30/97,173.54
12/31/97,179.13
1/30/98,176.96
1/31/98,176.96
2/27/98,180.42
2/28/98,180.42
3/31/98,191.14
4/30/98,192.96
5/29/98,193.47
5/31/98,193.47
6/30/98,196.54
7/31/98,198.3
8/31/98,183.33
9/30/98,179.1
10/30/98,170.91
10/31/98,170.91
11/30/98,173.23
12/31/98,178.48
1/29/99,179.91
1/31/99,179.91
2/26/99,177.56
2/28/99,177.56
3/31/99,179.73
4/30/99,184.45
5/31/99,184.69
6/30/99,190.74
7/30/99,191.24
7/31/99,191.24
8/31/99,189.51
9/30/99,188.9
10/29/99,193.38
10/31/99,193.38
11/30/99,202.98
12/31/99,220.29
1/31/00,220.07
2/29/00,234.35
3/31/00,229.39
4/28/00,218.78
4/30/00,218.78
5/31/00,216.22
6/30/00,224.14
7/31/00,224.39
8/31/00,232
9/29/00,231.05
9/30/00,231.05
10/31/00,228.53
11/30/00,224.99
12/29/00,230.97
12/31/00,230.97
1/31/01,233.15
2/28/01,231.78
3/30/01,231
3/31/01,231
4/30/01,232.59
5/31/01,234.51
6/29/01,235.88
6/30/01,235.88
7/31/01,235.83
8/31/01,237.99
9/28/01,236.01
9/30/01,236.01
10/31/01,237.05
11/30/01,238.33
12/31/01,241.17
1/31/02,242.47
2/28/02,241.11
3/29/02,242.89
3/31/02,242.89
4/30/02,244.82
5/31/02,246.47
6/28/02,244.39
6/30/02,244.39
7/31/02,241.1
8/30/02,243.14
8/31/02,243.14
9/30/02,243.33
10/31/02,243.23
11/29/02,245.89
11/30/02,245.89
12/31/02,248.51
1/31/03,251.68
2/28/03,253.38
3/31/03,254.04
4/30/03,259.01
5/30/03,266.0398
5/31/03,266.04
6/30/03,268.25
7/31/03,268.47
8/29/03,270.5098
8/31/03,270.51
9/30/03,274.6101
10/31/03,278.3899
11/28/03,281.3899
11/30/03,281.3899
12/31/03,286.8899
1/30/04,291.7798
1/31/04,291.78
2/27/04,295.8599
2/29/04,295.8601
3/31/04,296.7
4/30/04,294.97
5/31/04,294.29
6/30/04,295.3
7/30/04,294.3799
7/31/04,294.3799
8/31/04,294.78
9/30/04,297.77
10/29/04,301.5898
10/31/04,301.5901
11/30/04,309.5801
12/31/04,314.55
1/31/05,313.49
2/28/05,317.98
3/31/05,317.49
4/29/05,314.2
4/30/05,314.2
5/31/05,314.6599
6/30/05,318.77
7/29/05,324.8999
7/31/05,324.8999
8/31/05,327.77
9/30/05,333.1001
10/31/05,328.25
11/30/05,333.1101
12/30/05,338.48
12/31/05,338.48
1/31/06,349.3999
2/28/06,350.5801
3/31/06,356.97
4/28/06,364.8799
4/30/06,364.8799
5/31/06,360.1399
6/30/06,359.76
7/31/06,360.79
8/31/06,363.8701
9/29/06,364.3398
9/30/06,364.3401
10/31/06,370.79
11/30/06,378.47
12/29/06,385.4099
12/31/06,385.4099
1/31/07,390.53
2/28/07,393.4199
3/30/07,398.2798
3/31/07,398.28
4/30/07,406.3301
5/31/07,415.71
6/29/07,418.95
6/30/07,418.95
7/31/07,418.9299
8/31/07,412.52
9/28/07,423.6799
9/30/07,423.6799
10/31/07,437.0801
11/30/07,431.8101
12/31/07,433.8201
1/31/08,427.3999
2/29/08,434.26
3/31/08,425.1001
4/30/08,427.53
5/30/08,436.0698
5/31/08,436.0701
6/30/08,436.05
7/31/08,424.6799
8/29/08,418.4299
8/31/08,418.4299
9/30/08,391.02
10/31/08,366.3899
11/28/08,351.2
11/30/08,351.2
12/31/08,351.0801
1/30/09,354.9199
1/31/09,354.9199
2/27/09,351.7798
2/28/09,351.78
3/31/09,354.0801
4/30/09,360.04
5/29/09,374.6599
5/31/09,374.6599
6/30/09,376.27
7/31/09,385.8201
8/31/09,391.71
9/30/09,403.6201
10/30/09,404.1299
10/31/09,404.1299
11/30/09,412.6399
12/31/09,416.28
1/29/10,416.98
1/31/10,416.98
2/26/10,419.8198
2/28/10,419.8201
3/31/10,429.1399
4/30/10,434.46
5/31/10,422.45
6/30/10,418.8899
7/30/10,425.5398
7/31/10,425.54
8/31/10,426.54
9/30/10,441.1799
10/29/10,449.6599
10/31/10,449.6599
11/30/10,448.8301
