DATE,LEVEL
1/1/92,100
1/2/92,98.65779
1/3/92,98.93649
1/6/92,100.2453
1/7/92,100.9117
1/8/92,101.4172
1/9/92,102.4416
1/10/92,101.5898
1/13/92,101.8092
1/14/92,102.7072
1/15/92,104.4169
1/16/92,104.8226
1/17/92,104.5989
1/20/92,102.9325
1/21/92,100.5935
1/22/92,102.3663
1/23/92,103.0285
1/24/92,102.8352
1/27/92,102.6386
1/28/92,103.0837
1/29/92,103.5265
1/30/92,103.9189
1/31/92,103.6739
2/3/92,103.4624
2/4/92,103.5319
2/5/92,103.5084
2/6/92,104.2785
2/7/92,103.4389
2/10/92,102.7851
2/11/92,102.9346
2/12/92,103.357
2/13/92,102.4594
2/14/92,103.2705
2/17/92,103.2705
2/18/92,103.9895
2/19/92,102.8468
2/20/92,103.2245
2/21/92,103.0016
2/24/92,102.9919
2/25/92,102.1446
2/26/92,103.0179
2/27/92,103.4632
2/28/92,103.5646
3/2/92,102.7729
3/3/92,103.0855
3/4/92,103.0602
3/5/92,101.8872
3/6/92,101.575
3/9/92,101.1021
3/10/92,101.6054
3/11/92,101.6318
3/12/92,101.3318
3/13/92,101.3726
3/16/92,101.2847
3/17/92,101.141
3/18/92,101.0604
3/19/92,100.93
3/20/92,101.205
3/23/92,100.8838
3/24/92,100.273
3/25/92,99.6982
3/26/92,99.31689
3/27/92,98.209
3/30/92,97.90509
3/31/92,98.1057
4/1/92,96.97279
4/2/92,96.1635
4/3/92,95.44109
4/6/92,94.6989
4/7/92,92.4854
4/8/92,92.20389
4/9/92,94.18549
4/10/92,95.73109
4/13/92,96.75229
4/14/92,97.98999
4/15/92,97.91809
4/16/92,98.25609
4/17/92,98.25609
4/20/92,97.33879
4/21/92,97.9986
4/22/92,98.5172
4/23/92,98.0461
4/24/92,97.55199
4/27/92,97.44519
4/28/92,97.16689
4/29/92,96.94679
4/30/92,97.58769
5/1/92,97.81429
5/4/92,98.4489
5/5/92,98.05359
5/6/92,98.57329
5/7/92,99.69899
5/8/92,100.0859
5/11/92,100.3097
5/12/92,99.62509
5/13/92,99.84039
5/14/92,99.48329
5/15/92,98.43909
5/18/92,99.23399
5/19/92,99.4787
5/20/92,100.0807
5/21/92,99.80089
5/22/92,100.0301
5/25/92,100.0301
5/26/92,99.24329
