DATE,LEVEL
12/31/85,356.4399
1/1/86,356.4399
1/2/86,358.3799
1/3/86,360.5898
1/6/86,360.0498
1/7/86,356.95
1/8/86,355.3999
1/9/86,348.4099
1/10/86,350.95
1/13/86,349.46
1/14/86,346.1799
1/15/86,347.7998
1/16/86,351.5898
1/17/86,352.6399
1/20/86,349.0898
1/21/86,347.3799
1/22/86,350.3398
1/23/86,347.8398
1/24/86,351.1499
1/27/86,354.8098
1/28/86,359.99
1/29/86,358.9199
1/30/86,361.0498
1/31/86,363
2/3/86,360.46
2/4/86,361.5598
2/5/86,360.3899
2/6/86,360.7598
2/7/86,364.6199
2/10/86,369.4199
2/11/86,367.7598
2/12/86,372.1899
2/13/86,372.9299
2/14/86,374.0198
2/17/86,372.96
2/18/86,377.0498
2/19/86,377.5898
2/20/86,377.5498
2/21/86,382.6399
2/24/86,389.0298
2/25/86,389.2598
2/26/86,389.5698
2/27/86,394.1699
2/28/86,391.9099
3/3/86,390.0298
3/4/86,393.3999
3/5/86,398.6199
3/6/86,398.6499
3/7/86,398.47
3/10/86,400.72
3/11/86,406.8799
3/12/86,414.96
3/13/86,412.3599
3/14/86,414.3098
3/17/86,414.46
3/18/86,416.3499
3/19/86,422.7698
3/20/86,430.5398
3/21/86,431
3/24/86,424.5098
3/25/86,417.0798
3/26/86,421.1899
3/27/86,424.22
3/28/86,424.22
3/31/86,424.22
4/1/86,431.0098
4/2/86,432.2998
4/3/86,440.2798
4/4/86,439.3599
4/7/86,433.25
4/8/86,429.2
4/9/86,425.3799
4/10/86,433.3599
4/11/86,432.3999
4/14/86,432.5798
4/15/86,423.8398
4/16/86,425.49
4/17/86,431.5098
4/18/86,430.5298
4/21/86,427.9099
4/22/86,426.8398
4/23/86,419.9299
4/24/86,412.8999
4/25/86,414.0198
4/28/86,417.7898
4/29/86,424.73
4/30/86,427.3599
5/1/86,421.0098
5/2/86,423.99
5/5/86,423.99
5/6/86,420.7898
5/7/86,414.4099
5/8/86,410.96
5/9/86,409.6699
5/12/86,412.8899
5/13/86,418.73
5/14/86,410.1899
5/15/86,406.6699
5/16/86,402.8999
5/19/86,404.9399
5/20/86,407.9199
5/21/86,409.7598
5/22/86,412.0098
5/23/86,416.0598
5/26/86,416.0598
5/27/86,414.23
5/28/86,418.9199
5/29/86,414.0698
5/30/86,412.0398
6/2/86,411.9199
6/3/86,414.47
6/4/86,413.25
6/5/86,415.5098
6/6/86,415.95
6/9/86,415.1299
6/10/86,410.5198
6/11/86,405.3699
6/12/86,406.47
6/13/86,408.0898
6/16/86,411.9399
6/17/86,414.3098
6/18/86,417.6799
6/19/86,421
6/20/86,422.5398
6/23/86,419.72
6/24/86,419.7798
6/25/86,420.95
6/26/86,422.8198
6/27/86,422.48
6/30/86,425.6599
7/1/86,429.2798
7/2/86,428.45
7/3/86,428.3499
7/4/86,426.2598
7/7/86,423.1899
7/8/86,413.6599
7/9/86,416.72
7/10/86,421.7
7/11/86,420.2698
7/14/86,414.0498
7/15/86,412.5698
7/16/86,412.3899
7/17/86,416.1799
7/18/86,410.8499
7/21/86,403.7998
7/22/86,403.0698
7/23/86,406.9299
7/24/86,401.6499
7/25/86,398.6699
7/28/86,400.9199
7/29/86,402.8699
7/30/86,407.5198
7/31/86,403.6599
8/1/86,404.72
8/4/86,401.8999
8/5/86,405.1599
8/6/86,399.2798
8/7/86,396.4099
8/8/86,395.3398
8/11/86,399.6199
8/12/86,405.3899
8/13/86,410.7898
8/14/86,412.5498
8/15/86,416.7998
8/18/86,418.8198
8/19/86,418.4299
8/20/86,417.3799
8/21/86,418.5999
8/22/86,417.6199
8/25/86,417.6199
8/26/86,419.8298
8/27/86,423.0798
8/28/86,426.0098
8/29/86,432.2598
9/1/86,437.1899
9/2/86,434.2598
9/3/86,435.9399
9/4/86,438.3398
9/5/86,439.7798
9/8/86,435.0698
9/9/86,437.48
9/10/86,434.3699
9/11/86,430.72
9/12/86,419.5098
9/15/86,426
9/16/86,416.45
9/17/86,419.6299
9/18/86,423.6099
9/19/86,418.5298
9/22/86,421.5999
9/23/86,421.3599
9/24/86,419.5898
9/25/86,414.3298
9/26/86,407.5198
9/29/86,404.3298
9/30/86,407.9099
10/1/86,412.2998
10/2/86,412.8098
10/3/86,409.47
10/6/86,413.3899
10/7/86,417.6199
10/8/86,415.5198
10/9/86,422.1099
10/10/86,418.47
10/13/86,421.8899
10/14/86,417.3499
10/15/86,421.1499
10/16/86,420.3398
10/17/86,422.0698
10/20/86,417.2998
10/21/86,416.99
10/22/86,417.0198
10/23/86,412.48
10/24/86,413.5898
10/27/86,415.49
10/28/86,414.1899
10/29/86,418.1099
10/30/86,423.8098
10/31/86,427.1099
11/3/86,430.7598
11/4/86,429.1599
11/5/86,430.3699
11/6/86,433.3499
11/7/86,434.0498
11/10/86,435.3298
11/11/86,434.5398
11/12/86,436.0098
11/13/86,430.9399
11/14/86,430.9199
11/17/86,426.2598
11/18/86,425.4299
11/19/86,419.71
11/20/86,422.48
11/21/86,425.2798
11/24/86,429.5298
11/25/86,426.3398
11/26/86,426.3398
11/27/86,429.3098
11/28/86,430
12/1/86,424.7998
12/2/86,429.1299
12/3/86,424.3198
12/4/86,423.0198
12/5/86,423.5598
12/8/86,427.46
12/9/86,430.2
12/10/86,429.49
12/11/86,431.5698
12/12/86,428.3699
12/15/86,430.3799
12/16/86,430.8799
12/17/86,430.1099
12/18/86,428.9399
12/19/86,427.5098
12/22/86,434.8599
