DATE,LEVEL
12/29/78,102.288
1/1/79,102.288
1/2/79,102.288
1/3/79,102.288
1/4/79,102.288
1/5/79,102.288
1/8/79,102.288
1/9/79,102.288
1/10/79,102.288
1/11/79,102.288
1/12/79,102.288
1/15/79,102.288
1/16/79,102.288
1/17/79,102.288
1/18/79,102.288
1/19/79,102.288
1/22/79,102.288
1/23/79,102.288
1/24/79,102.288
1/25/79,102.288
1/26/79,102.288
1/29/79,102.288
1/30/79,102.288
1/31/79,103.499
2/1/79,103.499
2/2/79,103.499
2/5/79,103.499
2/6/79,103.499
2/7/79,103.499
2/8/79,103.499
2/9/79,103.499
2/12/79,103.499
2/13/79,103.499
2/14/79,103.499
2/15/79,103.499
2/16/79,103.499
2/19/79,103.499
2/20/79,103.499
2/21/79,103.499
2/22/79,103.499
2/23/79,103.499
2/26/79,103.499
2/27/79,103.499
2/28/79,103.397
3/1/79,103.397
3/2/79,103.397
3/5/79,103.397
3/6/79,103.397
3/7/79,103.397
3/8/79,103.397
3/9/79,103.397
3/12/79,103.397
3/13/79,103.397
3/14/79,103.397
3/15/79,103.397
3/16/79,103.397
3/19/79,103.397
3/20/79,103.397
3/21/79,103.397
3/22/79,103.397
3/23/79,103.397
3/26/79,103.397
3/27/79,103.397
3/28/79,103.397
3/29/79,103.397
3/30/79,103.397
4/2/79,103.397
4/3/79,103.397
4/4/79,103.397
4/5/79,103.397
4/6/79,103.397
4/9/79,103.397
4/10/79,103.397
4/11/79,103.397
4/12/79,103.397
4/13/79,103.397
4/16/79,103.397
4/17/79,103.397
4/18/79,103.397
4/19/79,103.397
4/20/79,103.397
4/23/79,103.397
4/24/79,103.397
4/25/79,103.397
4/26/79,103.397
4/27/79,103.397
4/30/79,104.561
5/1/79,104.561
5/2/79,104.561
5/3/79,104.561
5/4/79,104.561
5/7/79,104.561
5/8/79,104.561
5/9/79,104.561
5/10/79,104.561
5/11/79,104.561
5/14/79,104.561
5/15/79,104.561
5/16/79,104.561
5/17/79,104.561
5/18/79,104.561
5/21/79,104.561
5/22/79,104.561
5/23/79,104.561
5/24/79,104.561
5/25/79,104.561
5/28/79,104.561
5/29/79,104.561
5/30/79,104.561
5/31/79,106.383
6/1/79,106.383
6/4/79,106.383
6/5/79,106.383
6/6/79,106.383
6/7/79,106.383
6/8/79,106.383
6/11/79,106.383
6/12/79,106.383
6/13/79,106.383
6/14/79,106.383
6/15/79,106.383
6/18/79,106.383
6/19/79,106.383
6/20/79,106.383
6/21/79,106.383
6/22/79,106.383
6/25/79,106.383
6/26/79,106.383
6/27/79,106.383
6/28/79,106.383
6/29/79,106.383
7/2/79,106.383
7/3/79,106.383
7/4/79,106.383
7/5/79,106.383
7/6/79,106.383
7/9/79,106.383
7/10/79,106.383
7/11/79,106.383
7/12/79,106.383
7/13/79,106.383
7/16/79,106.383
7/17/79,106.383
7/18/79,106.383
7/19/79,106.383
7/20/79,106.383
7/23/79,106.383
7/24/79,106.383
7/25/79,106.383
7/26/79,106.383
7/27/79,106.383
7/30/79,106.383
7/31/79,108.371
8/1/79,108.371
8/2/79,108.371
8/3/79,108.371
8/6/79,108.371
8/7/79,108.371
8/8/79,108.371
8/9/79,108.371
8/10/79,108.371
8/13/79,108.371
8/14/79,108.371
8/15/79,108.371
8/16/79,108.371
8/17/79,108.371
8/20/79,108.371
8/21/79,108.371
8/22/79,108.371
8/23/79,108.371
8/24/79,108.371
8/27/79,108.371
8/28/79,108.371
8/29/79,108.371
8/30/79,108.371
8/31/79,107.967
9/3/79,107.967
9/4/79,107.967
9/5/79,107.967
9/6/79,107.967
9/7/79,107.967
9/10/79,107.967
9/11/79,107.967
9/12/79,107.967
9/13/79,107.967
9/14/79,107.967
9/17/79,107.967
9/18/79,107.967
9/19/79,107.967
9/20/79,107.967
9/21/79,107.967
9/24/79,107.967
9/25/79,107.967
9/26/79,107.967
9/27/79,107.967
9/28/79,107.967
10/1/79,107.967
10/2/79,107.967
10/3/79,107.967
10/4/79,107.967
10/5/79,107.967
10/8/79,107.967
10/9/79,107.967
10/10/79,107.967
10/11/79,107.967
10/12/79,107.967
10/15/79,107.967
10/16/79,107.967
10/17/79,107.967
10/18/79,107.967
10/19/79,107.967
10/22/79,107.967
10/23/79,107.967
10/24/79,107.967
10/25/79,107.967
10/26/79,107.967
10/29/79,107.967
10/30/79,107.967
10/31/79,103.09
11/1/79,103.09
11/2/79,103.09
11/5/79,103.09
11/6/79,103.09
11/7/79,103.09
11/8/79,103.09
11/9/79,103.09
11/12/79,103.09
11/13/79,103.09
11/14/79,103.09
11/15/79,103.09
11/16/79,103.09
11/19/79,103.09
11/20/79,103.09
11/21/79,103.09
11/22/79,103.09
11/23/79,103.09
11/26/79,103.09
11/27/79,103.09
11/28/79,103.09
11/29/79,103.09
11/30/79,106.241
12/3/79,106.241
12/4/79,106.241
12/5/79,106.241
12/6/79,106.241
12/7/79,106.241
12/10/79,106.241
12/11/79,106.241
12/12/79,106.241
12/13/79,106.241
12/14/79,106.241
12/17/79,106.241
12/18/79,106.241
12/19/79,106.241
12/20/79,106.241
12/21/79,106.241
12/24/79,106.241
12/25/79,106.241
12/26/79,106.241
12/27/79,106.241
12/28/79,106.241
12/31/79,107.023
1/1/80,107.023
1/2/80,107.023
1/3/80,107.023
1/4/80,107.023
1/7/80,107.023
1/8/80,107.023
1/9/80,107.023
1/10/80,107.023
1/11/80,107.023
1/14/80,107.023
1/15/80,107.023
1/16/80,107.023
1/17/80,107.023
1/18/80,107.023
1/21/80,107.023
1/22/80,107.023
1/23/80,107.023
1/24/80,107.023
1/25/80,107.023
1/28/80,107.023
1/29/80,107.023
1/30/80,107.023
