DATE,LEVEL
12/31/87,100
1/1/88,100
1/4/88,100
1/5/88,100
1/6/88,100
1/7/88,100
1/8/88,100
1/11/88,100
1/12/88,100
1/13/88,100
1/14/88,100
1/15/88,100
1/18/88,100
1/19/88,100
1/20/88,100
1/21/88,100
1/22/88,100
1/25/88,100
1/26/88,100
1/27/88,100
1/28/88,100
1/29/88,109.8381
2/1/88,109.8381
2/2/88,109.8381
2/3/88,109.8381
2/4/88,109.8381
2/5/88,109.8381
2/8/88,109.8381
2/9/88,109.8381
2/10/88,109.8381
2/11/88,109.8381
2/12/88,109.8381
2/15/88,109.8381
2/16/88,109.8381
2/17/88,109.8381
2/18/88,109.8381
2/19/88,109.8381
2/22/88,109.8381
2/23/88,109.8381
2/24/88,109.8381
2/25/88,109.8381
2/26/88,109.8381
2/29/88,110.2114
3/1/88,110.2114
3/2/88,110.2114
3/3/88,110.2114
3/4/88,110.2114
3/7/88,110.2114
3/8/88,110.2114
3/9/88,110.2114
3/10/88,110.2114
3/11/88,110.2114
3/14/88,110.2114
3/15/88,110.2114
3/16/88,110.2114
3/17/88,110.2114
3/18/88,110.2114
3/21/88,110.2114
3/22/88,110.2114
3/23/88,110.2114
3/24/88,110.2114
3/25/88,110.2114
3/28/88,110.2114
3/29/88,110.2114
3/30/88,110.2114
3/31/88,122.0464
4/1/88,122.0464
4/4/88,122.0464
4/5/88,122.0464
4/6/88,122.0464
4/7/88,122.0464
4/8/88,122.0464
4/11/88,122.0464
4/12/88,122.0464
4/13/88,122.0464
4/14/88,122.0464
4/15/88,122.0464
4/18/88,122.0464
4/19/88,122.0464
4/20/88,122.0464
4/21/88,122.0464
4/22/88,122.0464
4/25/88,122.0464
4/26/88,122.0464
4/27/88,122.0464
4/28/88,122.0464
4/29/88,128.5614
5/2/88,128.5614
5/3/88,128.5614
5/4/88,128.5614
5/5/88,128.5614
5/6/88,128.5614
5/9/88,128.5614
5/10/88,128.5614
5/11/88,128.5614
5/12/88,128.5614
5/13/88,128.5614
5/16/88,128.5614
5/17/88,128.5614
5/18/88,128.5614
5/19/88,128.5614
5/20/88,128.5614
5/23/88,128.5614
5/24/88,128.5614
5/25/88,128.5614
5/26/88,128.5614
5/27/88,128.5614
5/30/88,128.5614
5/31/88,132.4129
6/1/88,132.4129
6/2/88,132.4129
6/3/88,132.4129
6/6/88,132.4129
6/7/88,132.4129
6/8/88,132.4129
6/9/88,132.4129
6/10/88,132.4129
6/13/88,132.4129
6/14/88,132.4129
6/15/88,132.4129
6/16/88,132.4129
6/17/88,132.4129
6/20/88,132.4129
6/21/88,132.4129
6/22/88,132.4129
6/23/88,132.4129
6/24/88,132.4129
6/27/88,132.4129
6/28/88,132.4129
6/29/88,132.4129
6/30/88,136.9115
7/1/88,136.9115
7/4/88,136.9115
7/5/88,136.9115
7/6/88,136.9115
7/7/88,136.9115
7/8/88,136.9115
7/11/88,136.9115
7/12/88,136.9115
7/13/88,136.9115
7/14/88,136.9115
7/15/88,136.9115
7/18/88,136.9115
7/19/88,136.9115
7/20/88,136.9115
7/21/88,136.9115
7/22/88,136.9115
7/25/88,136.9115
7/26/88,136.9115
7/27/88,136.9115
7/28/88,136.9115
7/29/88,133.431
8/1/88,133.431
8/2/88,133.431
8/3/88,133.431
8/4/88,133.431
8/5/88,133.431
8/8/88,133.431
8/9/88,133.431
8/10/88,133.431
8/11/88,133.431
8/12/88,133.431
8/15/88,133.431
8/16/88,133.431
8/17/88,133.431
8/18/88,133.431
8/19/88,133.431
8/22/88,133.431
8/23/88,133.431
8/24/88,133.431
8/25/88,133.431
8/26/88,133.431
8/29/88,133.431
8/30/88,133.431
8/31/88,129.8574
9/1/88,129.8574
9/2/88,129.8574
9/5/88,129.8574
9/6/88,129.8574
9/7/88,129.8574
9/8/88,129.8574
9/9/88,129.8574
9/12/88,129.8574
9/13/88,129.8574
9/14/88,129.8574
9/15/88,129.8574
9/16/88,129.8574
9/19/88,129.8574
9/20/88,129.8574
9/21/88,129.8574
9/22/88,129.8574
9/23/88,129.8574
9/26/88,129.8574
9/27/88,129.8574
9/28/88,129.8574
9/29/88,129.8574
9/30/88,138.272
10/3/88,138.272
10/4/88,138.272
10/5/88,138.272
10/6/88,138.272
10/7/88,138.272
10/10/88,138.272
10/11/88,138.272
10/12/88,138.272
10/13/88,138.272
10/14/88,138.272
10/17/88,138.272
10/18/88,138.272
10/19/88,138.272
