DATE,LEVEL
12/29/95,100
1/1/96,99.99438
1/2/96,102.2961
1/3/96,97.95599
1/4/96,95.03909
1/5/96,95.46979
1/8/96,94.56969
1/9/96,85.1106
1/10/96,86.85239
1/11/96,93.49699
1/12/96,92.75249
1/15/96,86.713
1/16/96,89.8033
1/17/96,90.12599
1/18/96,93.44229
1/19/96,96.19179
1/22/96,98.53719
1/23/96,97.5154
1/24/96,102.388
1/25/96,99.40259
1/26/96,100.4279
1/29/96,100.0721
1/30/96,102.2036
1/31/96,103.9014
2/1/96,107.142
2/2/96,107.3179
2/5/96,111.9255
2/6/96,112.6734
2/7/96,110.6365
2/8/96,112.7631
2/9/96,112.6267
2/12/96,112.6319
2/13/96,110.2478
2/14/96,110.4271
2/15/96,111.437
2/16/96,111.4273
2/19/96,111.42
2/20/96,111.8732
2/21/96,115.0392
2/22/96,119.4203
2/23/96,118.8288
2/26/96,118.3987
2/27/96,116.3595
2/28/96,117.1511
2/29/96,114.4745
3/1/96,106.7733
3/4/96,104.4885
3/5/96,109.0755
3/6/96,106.725
3/7/96,107.3962
3/8/96,103.7047
3/11/96,107.9059
3/12/96,105.7133
3/13/96,111.5302
3/14/96,109.6844
3/15/96,113.9437
3/18/96,116.7408
3/19/96,115.6731
3/20/96,110.9344
3/21/96,109.3089
3/22/96,109.3723
3/25/96,103.75
3/26/96,104.733
3/27/96,107.3481
3/28/96,107.69
3/29/96,109.3102
4/1/96,108.9596
4/2/96,109.9538
4/3/96,110.6867
4/4/96,110.1671
4/5/96,110.1621
4/8/96,109.3225
4/9/96,109.5992
4/10/96,110.9804
4/11/96,108.7812
4/12/96,108.0736
4/15/96,109.8473
4/16/96,116.3434
4/17/96,114.9426
4/18/96,120.0537
4/19/96,119.68
4/22/96,124.1671
4/23/96,128.1613
4/24/96,132.312
4/25/96,133.2015
4/26/96,132.929
4/29/96,133.0265
4/30/96,133.0661
5/1/96,136.1572
5/2/96,130.7651
5/3/96,133.3746
5/6/96,134.4861
5/7/96,134.1591
5/8/96,133.1242
5/9/96,132.5446
5/10/96,135.7284
5/13/96,140.9059
5/14/96,143.1387
5/15/96,141.3701
5/16/96,143.9276
5/17/96,140.6086
5/20/96,140.5217
5/21/96,138.6193
5/22/96,137.2306
5/23/96,139.1015
5/24/96,136.8047
5/27/96,136.7973
5/28/96,136.7658
5/29/96,134.2107
5/30/96,136.3557
5/31/96,141.0704
6/3/96,139.3029
6/4/96,139.4421
6/5/96,141.6159
6/6/96,136.8912
6/7/96,138.4385
6/10/96,137.6603
6/11/96,139.0364
6/12/96,142.8318
6/13/96,139.9905
6/14/96,135.19
6/17/96,133.7668
6/18/96,127.7694
6/19/96,128.556
6/20/96,126.9421
6/21/96,129.6329
6/24/96,130.9126
6/25/96,126.3234
6/26/96,122.4442
6/27/96,127.6265
6/28/96,130.4914
7/1/96,133.5475
7/2/96,131.0404
7/3/96,128.0841
7/4/96,128.0758
7/5/96,124.3044
7/8/96,124.6361
7/9/96,125.5742
7/10/96,123.6234
7/11/96,115.5358
7/12/96,114.5182
7/15/96,105.3938
7/16/96,109.6466
7/17/96,117.0305
7/18/96,120.7181
7/19/96,116.9448
7/22/96,113.5124
7/23/96,102.9341
7/24/96,106.1328
7/25/96,112.6889
7/26/96,117.49
7/29/96,112.7974
7/30/96,116.1369
7/31/96,117.6735
8/1/96,121.9641
8/2/96,125.9679
8/5/96,124.0418
8/6/96,127.5996
8/7/96,131.6875
8/8/96,130.3684
8/9/96,130.6728
8/12/96,130.7649
8/13/96,127.6883
8/14/96,130.0101
8/15/96,130.0393
8/16/96,127.8105
8/19/96,126.71
8/20/96,124.1945
8/21/96,125.7605
8/22/96,129.7458
8/23/96,128.9667
8/26/96,127.4768
8/27/96,129.1283
8/28/96,129.8139
8/29/96,127.8028
8/30/96,126.003
9/2/96,125.9991
9/3/96,127.0813
9/4/96,127.0374
9/5/96,122.3851
9/6/96,125.4019
9/9/96,126.8528
9/10/96,126.5438
9/11/96,127.243
9/12/96,130.3114
9/13/96,136.2894
9/16/96,137.0406
9/17/96,140.9443
9/18/96,142.7502
9/19/96,145.0976
9/20/96,146.996
9/23/96,144.077
9/24/96,144.3756
9/25/96,146.9715
9/26/96,146.5136
9/27/96,146.533
9/30/96,144.8932
10/1/96,143.6166
10/2/96,147.3614
10/3/96,145.9842
10/4/96,149.6998
10/7/96,151.5515
10/8/96,147.9791
10/9/96,148.2175
10/10/96,147.6601
10/11/96,150.9341
10/14/96,152.7052
10/15/96,153.4484
10/16/96,151.715
10/17/96,147.1806
10/18/96,146.9186
10/21/96,143.7207
10/22/96,140.5098
10/23/96,142.9578
10/24/96,143.2047
10/25/96,141.459
10/28/96,140.8261
10/29/96,137.2637
10/30/96,138.2377
10/31/96,142.5089
11/1/96,143.2296
11/4/96,142.9243
11/5/96,146.1625
11/6/96,150.1933
11/7/96,151.5501
11/8/96,152.103
11/11/96,153.243
11/12/96,150.8883
11/13/96,151.9842
11/14/96,154.421
11/15/96,152.3766
11/18/96,151.0515
11/19/96,153.5297
11/20/96,154.0422
11/21/96,152.7703
11/22/96,156.0207
11/25/96,156.9535
11/26/96,158.1319
11/27/96,159.6384
11/28/96,159.6318
11/29/96,160.1134
12/2/96,162.8736
12/3/96,161.3397
12/4/96,161.0357
12/5/96,161.4325
12/6/96,159.0105
12/9/96,166.6527
12/10/96,164.698
12/11/96,166.3919
12/12/96,163.4679
12/13/96,159.1067
12/16/96,152.8512
12/17/96,155.3176
12/18/96,160.749
12/19/96,161.5221
12/20/96,158.7847
12/23/96,156.9165
12/24/96,159.6597
12/25/96,159.6505
12/26/96,161.6725
12/27/96,159.5482
12/30/96,157.3723
12/31/96,157.2734
1/1/97,157.2678
1/2/97,155.9607
1/3/97,161.5017
1/6/97,162.1833
1/7/97,163.8602
1/8/97,162.0134
1/9/97,162.2423
1/10/97,164.1891
1/13/97,163.3659
1/14/97,166.4661
1/15/97,163.9298
1/16/97,165.0231
1/17/97,166.5064
1/20/97,169.0805
1/21/97,172.361
1/22/97,174.7847
1/23/97,171.6874
1/24/97,169.6669
1/27/97,167.7182
1/28/97,167.6606
1/29/97,168.3719
1/30/97,172.2247
1/31/97,173.9984
2/3/97,172.8059
2/4/97,172.7635
2/5/97,166.0573
2/6/97,166.1294
2/7/97,169.5907
2/10/97,164.3479
2/11/97,164.1142
2/12/97,170.3437
2/13/97,172.2474
2/14/97,170.3134
2/17/97,170.2996
2/18/97,169.8392
2/19/97,169.5408
2/20/97,165.758
2/21/97,162.5104
2/24/97,165.8828
2/25/97,166.2473
2/26/97,166.1394
2/27/97,158.9347
2/28/97,159.6845
3/3/97,160.6903
3/4/97,162.5688
3/5/97,164.3947
3/6/97,157.796
3/7/97,154.3704
3/10/97,157.3012
3/11/97,155.7239
3/12/97,153.62
3/13/97,155.7496
3/14/97,155.6224
3/17/97,152.798
3/18/97,151.7164
3/19/97,146.1129
3/20/97,149.8013
3/21/97,146.7725
3/24/97,142.3958
3/25/97,144.0666
3/26/97,152.3
3/27/97,149.2632
3/28/97,149.2502
3/31/97,144.0961
4/1/97,143.2692
4/2/97,140.3739
4/3/97,146.3389
4/4/97,150.5243
4/7/97,153.2565
4/8/97,154.9063
4/9/97,152.0656
4/10/97,148.7046
4/11/97,143.5724
4/14/97,147.4393
4/15/97,145.1093
4/16/97,144.9089
4/17/97,147.1084
4/18/97,149.8778
4/21/97,146.4095
4/22/97,149.3718
4/23/97,155.6479
4/24/97,155.5485
4/25/97,150.5851
4/28/97,152.9795
4/29/97,158.8449
4/30/97,164.0613
5/1/97,166.326
5/2/97,172.772
5/5/97,178.1382
5/6/97,172.651
5/7/97,171.8389
5/8/97,173.864
5/9/97,173.4609
5/12/97,174.5605
5/13/97,171.5223
5/14/97,170.3949
5/15/97,176.2783
5/16/97,172.6219
5/19/97,171.3979
5/20/97,178.8245
5/21/97,181.1767
5/22/97,180.1284
5/23/97,183.5736
5/26/97,183.5608
5/27/97,191.3786
5/28/97,191.3154
5/29/97,188.209
5/30/97,185.7343
6/2/97,186.4875
6/3/97,176.9689
6/4/97,175.2229
6/5/97,177.4226
6/6/97,181.4141
6/9/97,184.1046
6/10/97,180.044
6/11/97,182.281
6/12/97,181.6394
6/13/97,185.8926
6/16/97,189.5015
6/17/97,194.1033
6/18/97,188.2604
6/19/97,190.3351
6/20/97,190.1541
6/23/97,187.8337
6/24/97,192.3744
6/25/97,190.8212
6/26/97,186.8803
6/27/97,185.7862
6/30/97,184.4295
7/1/97,182.3636
7/2/97,188.1245
7/3/97,190.2121
7/4/97,190.1994
7/7/97,192.8986
7/8/97,197.9353
7/9/97,200.4797
7/10/97,200.2358
7/11/97,201.7901
7/14/97,212.142
7/15/97,217.623
7/16/97,231.9048
7/17/97,229.2841
7/18/97,221.9686
7/21/97,217.1236
7/22/97,227.2941
7/23/97,227.3647
7/24/97,223.9134
7/25/97,222.6128
7/28/97,219.1584
7/29/97,222.123
7/30/97,225.7776
7/31/97,227.176
8/1/97,228.8753
8/4/97,233.9184
8/5/97,238.6782
8/6/97,240.0185
8/7/97,238.3231
8/8/97,232.4817
8/11/97,226.8977
8/12/97,223.8454
8/13/97,226.0498
8/14/97,228.0593
8/15/97,221.4783
8/18/97,224.3093
8/19/97,234.4179
8/20/97,240.582
8/21/97,234.1359
8/22/97,231.8541
8/25/97,230.9157
8/26/97,226.7345
8/27/97,226.2855
8/28/97,220.049
8/29/97,221.871
9/1/97,221.8507
9/2/97,228.3032
9/3/97,227.5745
9/4/97,229.8627
9/5/97,231.3033
9/8/97,232.8709
9/9/97,235.1443
9/10/97,228.6873
9/11/97,230.6079
9/12/97,230.8471
9/15/97,223.0594
9/16/97,231.7718
9/17/97,227.9117
9/18/97,228.3426
9/19/97,231.9666
9/22/97,232.915
9/23/97,235.9784
9/24/97,230.5653
9/25/97,228.4866
9/26/97,228.2337
9/29/97,230.8083
9/30/97,226.0764
10/1/97,226.4226
10/2/97,229.7771
10/3/97,234.1621
10/6/97,234.117
10/7/97,238.988
10/8/97,243.5118
10/9/97,244.9296
10/10/97,241.1134
10/13/97,242.2056
10/14/97,238.4028
10/15/97,235.255
10/16/97,228.4319
10/17/97,221.3137
10/20/97,225.0213
10/21/97,232.8018
10/22/97,228.6675
10/23/97,221.6555
10/24/97,216.8236
10/27/97,192.2877
10/28/97,210.831
10/29/97,206.1656
10/30/97,197.5676
10/31/97,203.9492
11/3/97,212.1064
11/4/97,212.095
11/5/97,211.6065
11/6/97,207.1124
11/7/97,205.5488
11/10/97,201.2872
11/11/97,200.889
11/12/97,191.1987
11/13/97,199.2051
11/14/97,206.8154
11/17/97,212.7669
11/18/97,209.5817
11/19/97,209.2772
11/20/97,215.8623
11/21/97,213.4412
11/24/97,204.8021
11/25/97,208.178
11/26/97,211.6503
11/27/97,211.6267
11/28/97,213.1319
12/1/97,220.1288
12/2/97,209.9933
12/3/97,213.4271
12/4/97,210.5488
12/5/97,215.6548
12/8/97,222.0244
12/9/97,208.7612
12/10/97,203.1842
12/11/97,191.8083
12/12/97,182.6586
12/15/97,182.431
12/16/97,188.5139
12/17/97,184.0796
12/18/97,178.7399
12/19/97,181.2492
12/22/97,183.0464
12/23/97,175.0448
12/24/97,171.2791
12/25/97,171.2608
12/26/97,176.0209
12/29/97,183.5335
12/30/97,190.0652
12/31/97,187.5682
1/1/98,187.5517
1/2/98,193.1242
1/5/98,196.2306
1/6/98,194.7356
1/7/98,188.2863
1/8/98,191.8696
1/9/98,179.8976
1/12/98,183.7215
1/13/98,193.2421
1/14/98,192.5143
1/15/98,193.8802
1/16/98,196.8139
1/19/98,196.7955
1/20/98,203.4309
1/21/98,204.711
1/22/98,205.5942
1/23/98,207.8112
1/26/98,204.1513
1/27/98,210.8945
1/28/98,222.0856
1/29/98,223.0048
1/30/98,225.8868
2/2/98,236.2132
2/3/98,239.4322
2/4/98,245.0539
2/5/98,240.5323
2/6/98,246.8308
2/9/98,243.5926
2/10/98,249.5526
2/11/98,248.7188
2/12/98,250.2789
2/13/98,247.9318
2/16/98,247.9068
2/17/98,243.049
2/18/98,246.1576
2/19/98,252.8342
2/20/98,252.2148
2/23/98,263.9902
2/24/98,260.7305
2/25/98,270.8799
2/26/98,272.9109
2/27/98,267.6187
3/2/98,260.8477
3/3/98,259.4883
3/4/98,261.1323
3/5/98,239.6547
3/6/98,254.0877
3/9/98,237.6858
3/10/98,245.4117
3/11/98,247.6961
3/12/98,252.389
3/13/98,257.6758
3/16/98,260.2986
3/17/98,253.4703
3/18/98,257.2891
3/19/98,261.3752
3/20/98,251.1541
3/23/98,257.4031
3/24/98,265.0054
