DATE,LEVEL
12/31/96,100
1/1/97,100
1/2/97,99.31
1/3/97,102.41
1/6/97,102.4
1/7/97,103.69
1/8/97,102.44
1/9/97,103.93
1/10/97,105.53
1/13/97,105.54
1/14/97,108.37
1/15/97,107.53
1/16/97,108.13
1/17/97,110.01
1/20/97,110.46
1/21/97,112.26
1/22/97,112.97
1/23/97,110.39
1/24/97,108.5
1/27/97,106.72
1/28/97,106.41
1/29/97,108.21
1/30/97,111.13
1/31/97,111.54
2/3/97,111.46
2/4/97,112.13
2/5/97,108.18
2/6/97,108.52
2/7/97,111.6
2/10/97,110.37
2/11/97,111.64
2/12/97,116.41
2/13/97,119.29
2/14/97,118.05
2/17/97,118.03
2/18/97,120.4
2/19/97,118.72
2/20/97,115.95
2/21/97,115.69
2/24/97,118.58
2/25/97,119.23
2/26/97,117.48
2/27/97,113.72
2/28/97,112.56
3/3/97,113.87
3/4/97,111.46
3/5/97,114.56
3/6/97,113.23
3/7/97,115.36
3/10/97,117.93
3/11/97,117.44
3/12/97,115.38
3/13/97,110.49
3/14/97,112.26
3/17/97,112.9
3/18/97,110.54
3/19/97,108.62
3/20/97,107.59
3/21/97,108.28
3/24/97,110.55
3/25/97,109.55
3/26/97,109.64
3/27/97,103.83
3/28/97,103.82
3/31/97,98.45999
4/1/97,98.59
4/2/97,95.81999
4/3/97,95.73
4/4/97,97.79999
4/7/97,99.51999
4/8/97,100.68
4/9/97,99.39999
4/10/97,98.73999
4/11/97,92.78
4/14/97,94.10999
4/15/97,97.56999
4/16/97,100.61
4/17/97,100.04
4/18/97,101.02
4/21/97,99.12
4/22/97,102.86
4/23/97,102.75
4/24/97,101.61
4/25/97,100.56
4/28/97,102.54
4/29/97,108.74
4/30/97,110.84
5/1/97,110.5
5/2/97,113.58
5/5/97,117.84
5/6/97,117.38
5/7/97,114.5
5/8/97,115.45
5/9/97,116.63
5/12/97,119.63
5/13/97,118.11
5/14/97,118.74
5/15/97,120.42
5/16/97,117.83
5/19/97,118.37
5/20/97,120.89
5/21/97,120.16
5/22/97,119.46
5/23/97,122.19
5/26/97,122.18
5/27/97,123.61
5/28/97,123.41
5/29/97,122.46
5/30/97,123.67
6/2/97,123.05
6/3/97,122.97
6/4/97,121.82
6/5/97,122.5
6/6/97,125.34
6/9/97,126.2
6/10/97,127.04
6/11/97,128
6/12/97,130.8
6/13/97,132.71
6/16/97,132.98
6/17/97,132.84
6/18/97,132.51
6/19/97,133.86
6/20/97,134.03
6/23/97,129.78
6/24/97,133.53
6/25/97,131.83
6/26/97,130.45
6/27/97,131.29
6/30/97,130.97
7/1/97,131.86
7/2/97,133.71
7/3/97,135.33
7/4/97,135.33
7/7/97,135.09
7/8/97,136.38
7/9/97,134.69
7/10/97,136.44
7/11/97,136.33
7/14/97,136.72
7/15/97,137.81
7/16/97,139.24
7/17/97,138.27
7/18/97,136.15
7/21/97,135.93
7/22/97,139.89
7/23/97,140.64
7/24/97,140.4
7/25/97,139.82
7/28/97,140.41
7/29/97,141.25
