DATE,LEVEL
12/29/78,100
1/1/79,100
1/2/79,100.62
1/3/79,101.78
1/4/79,102.75
1/5/79,103.44
1/8/79,103.19
1/9/79,103.75
1/10/79,103.23
1/11/79,103.72
1/12/79,104.56
1/15/79,105.28
1/16/79,104.1
1/17/79,104.06
1/18/79,104.55
1/19/79,104.54
1/22/79,104.63
1/23/79,105.31
1/24/79,104.97
1/25/79,105.98
1/26/79,106.67
1/29/79,106.42
1/30/79,106.07
1/31/79,104.9
2/1/79,104.96
2/2/79,104.63
2/5/79,103.29
2/6/79,103.35
2/7/79,102.41
2/8/79,103
2/9/79,103.31
2/12/79,103.64
2/13/79,104.46
2/14/79,104.36
2/15/79,104.33
2/16/79,104.4
2/19/79,104.4
2/20/79,105.19
2/21/79,104.93
2/22/79,104.25
2/23/79,103.7
2/26/79,103.61
2/27/79,101.89
2/28/79,102
3/1/79,102.72
3/2/79,102.87
3/5/79,104.04
3/6/79,103.83
3/7/79,104.54
3/8/79,105.65
3/9/79,105.7
3/12/79,105.91
3/13/79,106.2
3/14/79,106.18
3/15/79,106.45
3/16/79,107.3
3/19/79,107.71
3/20/79,107.17
3/21/79,107.9
3/22/79,108.37
3/23/79,108.41
3/26/79,107.92
3/27/79,109.38
3/28/79,109.04
3/29/79,109.07
3/30/79,108.73
4/2/79,108.01
4/3/79,109.48
4/4/79,109.84
4/5/79,110.5
4/6/79,110.46
4/9/79,110.17
4/10/79,110.66
4/11/79,109.7
4/12/79,109.46
4/13/79,109.46
4/16/79,108.58
4/17/79,108.58
4/18/79,109.18
4/19/79,108.81
4/20/79,108.85
4/23/79,109.19
4/24/79,109.79
4/25/79,110.19
4/26/79,109.71
4/27/79,109.48
4/30/79,109.53
5/1/79,109.57
5/2/79,109.65
5/3/79,109.72
5/4/79,108.73
5/7/79,106.79
5/8/79,106.84
5/9/79,107.23
5/10/79,106.3
5/11/79,106.44
5/14/79,105.94
5/15/79,106.05
5/16/79,106.3
5/17/79,107.89
5/18/79,108
5/21/79,108.31
5/22/79,108.86
5/23/79,108.51
5/24/79,108.71
5/25/79,109.1
5/28/79,109.1
5/29/79,108.99
5/30/79,107.98
5/31/79,108.03
6/1/79,108.17
6/4/79,108.4
6/5/79,109.73
6/6/79,110.48
6/7/79,111.14
6/8/79,110.95
6/11/79,111.29
6/12/79,112.37
6/13/79,111.99
6/14/79,111.81
6/15/79,111.92
6/18/79,111.29
6/19/79,111.38
6/20/79,111.57
6/21/79,112.07
6/22/79,112.63
6/25/79,112.12
6/26/79,111.68
6/27/79,112.36
6/28/79,113
6/29/79,113.11
7/2/79,112.14
7/3/79,112.32
7/4/79,112.32
7/5/79,112.79
7/6/79,113.98
7/9/79,114.89
7/10/79,114.58
7/11/79,113.92
7/12/79,113.07
7/13/79,112.7
7/16/79,113.2
7/17/79,112.16
7/18/79,111.95
7/19/79,111.98
7/20/79,112.3
7/23/79,112.01
7/24/79,112.4
7/25/79,113.62
7/26/79,113.76
7/27/79,113.92
7/30/79,114.07
7/31/79,114.79
8/1/79,115.23
8/2/79,115.33
8/3/79,115.29
8/6/79,115.58
8/7/79,116.98
8/8/79,117.4
8/9/79,117.09
8/10/79,118.14
8/13/79,119.16
8/14/79,119.34
8/15/79,120.21
8/16/79,120.04
8/17/79,120.4
8/20/79,121.03
8/21/79,121.15
8/22/79,121.42
8/23/79,121.11
8/24/79,121.14
8/27/79,121.83
8/28/79,121.72
8/29/79,121.77
8/30/79,121.81
8/31/79,122.32
9/3/79,122.32
9/4/79,120.36
9/5/79,118.97
9/6/79,119.59
9/7/79,120.56
9/10/79,121.21
9/11/79,120.43
9/12/79,120.88
9/13/79,120.95
9/14/79,122.11
9/17/79,122.04
9/18/79,121.17
9/19/79,121.49
9/20/79,123.64
9/21/79,123.64
9/24/79,122.73
9/25/79,122.81
9/26/79,123.19
9/27/79,123.4
9/28/79,122.58
10/1/79,121.9
10/2/79,122.92
10/3/79,123.13
10/4/79,123.87
10/5/79,125
10/8/79,123.5
10/9/79,119.34
10/10/79,117.18
10/11/79,117.16
10/12/79,116.79
10/15/79,115.38
10/16/79,115.18
10/17/79,115.53
10/18/79,115.78
10/19/79,113.43
10/22/79,111.89
10/23/79,111.48
10/24/79,111.75
10/25/79,111.4
10/26/79,112.15
10/29/79,112.4
10/30/79,114.41
10/31/79,113.71
11/1/79,114.66
11/2/79,114.88
11/5/79,114.21
11/6/79,113.56
11/7/79,112.2
11/8/79,112.81
11/9/79,114.24
11/12/79,116.27
11/13/79,115.89
11/14/79,116.4
11/15/79,117.32
11/16/79,117.13
11/19/79,117.64
11/20/79,117.1
11/21/79,117.27
11/22/79,117.27
11/23/79,118.26
11/26/79,120.86
11/27/79,120.59
11/28/79,121.08
11/29/79,121.2
11/30/79,120.74
12/3/79,120.43
12/4/79,121.51
12/5/79,122.11
12/6/79,122.99
12/7/79,122.61
12/10/79,122.9
12/11/79,122.73
12/12/79,122.89
12/13/79,123.13
12/14/79,124.45
12/17/79,125.08
12/18/79,124
12/19/79,123.89
12/20/79,124.13
12/21/79,123.47
12/24/79,123.57
12/25/79,123.57
12/26/79,123.73
12/27/79,123.9
12/28/79,123.99
12/31/79,124.12
1/1/80,124.12
1/2/80,121.61
1/3/80,120.82
1/4/80,122.45
1/7/80,122.91
1/8/80,125.26
1/9/80,125.43
1/10/80,126.54
1/11/80,126.81
1/14/80,127.3
1/15/80,128.02
1/16/80,128.07
1/17/80,127.84
1/18/80,128.08
1/21/80,129.22
1/22/80,128.41
1/23/80,130.33
1/24/80,130.72
1/25/80,130.7
1/28/80,132.07
1/29/80,131.35
1/30/80,132.74
1/31/80,132
2/1/80,132.94
2/4/80,132.32
2/5/80,132.67
2/6/80,133.84
2/7/80,134.42
2/8/80,136.25
2/11/80,135.39
2/12/80,136.24
2/13/80,136.64
2/14/80,134.66
2/15/80,133.55
2/18/80,133.55
2/19/80,132.73
2/20/80,134.69
2/21/80,133.52
2/22/80,132.92
2/25/80,131.16
2/26/80,131.9
2/27/80,130.34
2/28/80,130.38
2/29/80,132.01
