DATE,LEVEL
1/4/88,256.0149
1/5/88,258.7698
1/6/88,259.0298
1/7/88,261.2109
1/8/88,243.545
1/11/88,247.666
1/12/88,245.6
1/13/88,246.022
1/14/88,246.092
1/15/88,252.29
1/18/88,252.12
1/19/88,249.566
1/20/88,242.869
1/21/88,243.38
1/22/88,246.748
1/25/88,252.504
1/26/88,249.946
1/27/88,249.757
1/28/88,253.673
1/29/88,257.4729
2/1/88,255.507
2/2/88,256.1448
2/3/88,252.789
2/4/88,252.965
2/5/88,251.914
2/8/88,250.103
2/9/88,252.768
2/10/88,257.7559
2/11/88,257.0559
2/12/88,258.8699
2/15/88,258.8699
2/16/88,261.1428
2/17/88,260.5349
2/18/88,259.2329
2/19/88,262.9629
2/22/88,267.0798
2/23/88,266.4788
2/24/88,265.959
2/25/88,263.0969
2/26/88,263.9929
2/29/88,269.4749
3/1/88,269.4368
3/2/88,269.752
3/3/88,269.6528
3/4/88,269.0979
3/7/88,269.2229
3/8/88,271.3359
3/9/88,271.0298
3/10/88,265.7839
3/11/88,266.8999
3/14/88,268.356
3/15/88,268.1309
3/16/88,270.8718
3/17/88,273.2729
3/18/88,273.1799
3/21/88,270.7939
3/22/88,270.897
3/23/88,270.9768
3/24/88,265.3699
3/25/88,260.719
3/28/88,260.2759
3/29/88,262.3318
3/30/88,260.3159
3/31/88,261.1499
4/1/88,261.1499
4/4/88,258.4109
4/5/88,260.8918
4/6/88,267.9368
4/7/88,268.6128
4/8/88,271.9199
4/11/88,272.679
4/12/88,273.9009
4/13/88,274.1099
4/14/88,262.2078
4/15/88,262.2278
4/18/88,261.6809
4/19/88,260.3909
4/20/88,258.584
4/21/88,258.877
4/22/88,262.6399
4/25/88,265.0369
4/26/88,266.6118
4/27/88,266.5149
4/28/88,265.3169
4/29/88,264.0378
5/2/88,264.334
5/3/88,265.8938
5/4/88,263.2339
5/5/88,261.844
5/6/88,260.5918
5/9/88,259.877
5/10/88,261.0068
5/11/88,256.6519
5/12/88,257.2139
5/13/88,260.199
5/16/88,262.2859
5/17/88,259.0488
5/18/88,255.022
5/19/88,256.2959
5/20/88,256.7568
5/23/88,254.583
5/24/88,257.3289
5/25/88,257.6438
5/26/88,258.5308
5/27/88,257.4009
5/30/88,257.4009
5/31/88,266.3218
6/1/88,270.9529
6/2/88,269.5818
6/3/88,270.741
6/6/88,271.4119
6/7/88,269.5608
6/8/88,276.0178
6/9/88,274.782
6/10/88,275.8728
6/13/88,276.0698
6/14/88,279.0068
6/15/88,279.1658
6/16/88,274.4158
6/17/88,275.356
6/20/88,273.6199
6/21/88,276.4009
6/22/88,280.4619
6/23/88,279.6069
6/24/88,278.7429
6/27/88,273.9729
6/28/88,277.3198
6/29/88,275.9719
6/30/88,278.5439
7/1/88,276.856
7/4/88,276.856
7/5/88,281.053
7/6/88,277.1909
7/7/88,276.9458
7/8/88,275.1599
7/11/88,275.7249
7/12/88,272.98
7/13/88,274.48
7/14/88,275.4668
7/15/88,277.2908
7/18/88,275.7439
7/19/88,273.6748
7/20/88,275.2339
7/21/88,271.8298
7/22/88,268.6108
7/25/88,269.8848
7/26/88,270.4539
7/27/88,267.762
7/28/88,271.3528
7/29/88,277.4868
8/1/88,277.7568
8/2/88,277.7078
8/3/88,278.6838
8/4/88,277.8069
8/5/88,277.0698
8/8/88,275.9619
8/9/88,272.5669
8/10/88,267.8938
8/11/88,268.7949
8/12/88,268.6018
8/15/88,264.7729
8/16/88,266.7258
8/17/88,266.9529
8/18/88,267.241
8/19/88,266.448
8/22/88,263.1838
8/23/88,263.303
8/24/88,267.4438
8/25/88,265.4568
8/26/88,266.0439
8/29/88,268.8618
8/30/88,269.0808
8/31/88,268.0669
9/1/88,264.8479
9/2/88,271.188
9/5/88,271.188
9/6/88,272.3738
9/7/88,272.6609
9/8/88,272.6848
9/9/88,273.7759
9/12/88,273.4119
9/13/88,274.4199
9/14/88,276.3608
9/15/88,275.1609
9/16/88,277.7568
9/19/88,275.8918
9/20/88,276.9338
9/21/88,277.4299
9/22/88,276.4189
9/23/88,277.0149
9/26/88,276.3198
9/27/88,275.6968
9/28/88,276.5488
9/29/88,280.1809
9/30/88,279.4878
10/3/88,279.0898
10/4/88,278.3469
10/5/88,279.6218
10/6/88,280.1689
10/7/88,286.0369
10/10/88,286.2119
10/11/88,285.9028
10/12/88,281.8408
10/13/88,283.1169
10/14/88,283.4368
10/17/88,284.3928
10/18/88,287.4619
10/19/88,284.9829
10/20/88,291.064
10/21/88,291.8699
10/24/88,290.4919
10/25/88,290.6238
10/26/88,289.6628
10/27/88,285.4429
10/28/88,286.7449
10/31/88,287.2698
11/1/88,287.5059
11/2/88,287.5068
11/3/88,287.7139
11/4/88,284.9648
11/7/88,282.6489
11/8/88,283.9729
11/9/88,282.1499
11/10/88,282.5859
11/11/88,276.6279
11/14/88,276.5488
11/15/88,277.2129
11/16/88,272.6018
11/17/88,273.4219
11/18/88,275.4248
11/21/88,275.189
11/22/88,276.2129
11/23/88,278.0928
11/24/88,278.0928
11/25/88,276.3589
11/28/88,277.8889
11/29/88,280.2878
11/30/88,283.1758
12/1/88,281.9529
12/2/88,281.3079
12/5/88,284.6008
12/6/88,287.3938
12/7/88,287.9639
12/8/88,286.3518
12/9/88,286.9268
12/12/88,286.4338
12/13/88,286.2419
12/14/88,285.2168
12/15/88,284.157
12/16/88,286.2578
12/19/88,288.9829
12/20/88,287.5039
12/21/88,287.4138
12/22/88,286.8889
12/23/88,288.1699
12/26/88,288.1699
12/27/88,287.1008
12/28/88,287.3699
12/29/88,289.8079
12/30/88,288.116
1/2/89,288.116
1/3/89,285.6499
1/4/89,289.9929
1/5/89,290.606
1/6/89,291.292
1/9/89,291.646
1/10/89,291.033
