DATE,LEVEL
12/29/78,513.0798
1/2/79,515.25
1/3/79,518.7
1/4/79,516.96
1/5/79,522.0598
1/8/79,522.4199
1/9/79,528.46
1/10/79,529.23
1/11/79,528.48
1/12/79,532.8398
1/15/79,534.2798
1/16/79,533.8699
1/17/79,534.3298
1/18/79,535.9399
1/19/79,539.1799
1/22/79,538.3799
1/23/79,538.7698
1/24/79,545.0999
1/25/79,543.7798
1/26/79,544.1599
1/29/79,546.3499
1/30/79,546.8599
1/31/79,550.0898
2/1/79,544.8499
2/2/79,550.95
2/5/79,547.3999
2/6/79,549.2598
2/7/79,553.8198
2/8/79,558.9199
2/9/79,562.0598
2/12/79,558.71
2/13/79,557.3499
2/14/79,564.0198
2/15/79,568.5098
2/16/79,571.2798
2/20/79,573.8999
2/21/79,579.2798
2/22/79,576.96
2/23/79,580.3899
2/26/79,573.4299
2/27/79,578.3098
2/28/79,582.2898
3/1/79,587.5898
3/2/79,583.99
3/5/79,582.1299
3/6/79,578.3298
3/7/79,585.2698
3/8/79,585.3098
3/9/79,581.0598
3/12/79,571.8599
3/13/79,573.7
3/14/79,579.8298
3/15/79,578.5898
3/16/79,578.23
3/19/79,582.5298
3/20/79,583.8599
3/21/79,589.1499
3/22/79,587.3599
3/23/79,586.3999
3/26/79,580.21
3/27/79,572.3699
3/28/79,576.1099
3/29/79,569.8499
3/30/79,571.95
4/2/79,571.6399
4/3/79,565.8298
4/4/79,574.5
4/5/79,579.0298
4/6/79,581.8198
4/9/79,588.1499
4/10/79,586.5298
4/11/79,589.3999
4/12/79,589.6599
4/16/79,591.1399
4/17/79,594.74
4/18/79,591.3499
4/19/79,592.47
4/20/79,594.95
4/23/79,595.2
4/24/79,590.6699
4/25/79,595.45
4/26/79,601.8398
4/27/79,600.2798
4/30/79,606.1699
5/1/79,604.72
5/2/79,606.0698
5/3/79,607.23
5/4/79,601
5/7/79,593.2898
5/8/79,595.97
5/9/79,592.8398
5/10/79,594.1899
5/11/79,588.4299
5/14/79,588.47
5/15/79,585.72
5/16/79,580.49
5/17/79,578.9099
5/18/79,577.8999
5/21/79,587.1799
5/22/79,587.95
5/23/79,588.6599
5/24/79,583.96
5/25/79,578.8198
5/29/79,575.98
5/30/79,572.25
5/31/79,577.6099
6/1/79,571.4199
6/4/79,570.5999
6/5/79,571.2898
6/6/79,569.8599
6/7/79,575.96
6/8/79,588.0598
6/11/79,595.6299
6/12/79,587.9099
6/13/79,592.7698
6/14/79,596.8599
6/15/79,601.6099
6/18/79,601.1899
6/19/79,596.5398
6/20/79,596.6599
6/21/79,603.3198
6/22/79,612.6599
6/25/79,601.5999
6/26/79,607.72
6/27/79,605.75
6/28/79,589.73
6/29/79,585.3398
7/2/79,590.97
7/3/79,596.8799
7/5/79,614.1199
7/6/79,611.2698
7/9/79,616.9399
7/10/79,614.23
7/11/79,615.5398
7/12/79,606.6499
7/13/79,599.1599
7/16/79,603.3499
7/17/79,599.47
7/18/79,597.95
7/19/79,592.45
7/20/79,591.0598
7/23/79,588.6299
7/24/79,585.4299
7/25/79,583.0198
7/26/79,579.3398
7/27/79,568.3098
7/30/79,559.97
7/31/79,560.9099
8/1/79,559.96
8/2/79,555.48
8/3/79,558.46
8/6/79,552.2998
8/7/79,552.8699
8/8/79,562.22
8/9/79,570.3398
8/10/79,575.6599
8/13/79,577.6199
8/14/79,593.47
8/15/79,589.8098
8/16/79,599.2598
8/17/79,601.6899
8/20/79,598.0298
8/21/79,607.97
8/22/79,604.4199
8/23/79,606.5198
8/24/79,616.0598
8/27/79,608.1499
8/28/79,602.95
8/29/79,615.5698
8/30/79,622.2898
8/31/79,625.5098
9/4/79,615.0898
9/5/79,621.22
9/6/79,624.5498
9/7/79,628.0698
9/10/79,633.2598
9/11/79,637.7698
9/12/79,634.1299
9/13/79,646.75
9/14/79,637.6699
9/17/79,634.8799
9/18/79,638.0798
9/19/79,639.21
9/20/79,640.3499
9/21/79,636.3298
9/24/79,632.0698
9/25/79,629.75
9/26/79,637.71
9/27/79,652.1499
9/28/79,652.3899
10/1/79,670.0198
10/2/79,660.1199
10/3/79,661.5
10/4/79,650.72
10/5/79,643.7798
10/8/79,639.8499
10/9/79,628.49
10/10/79,637.0999
10/11/79,629.25
10/12/79,627.2898
10/15/79,622.3599
10/16/79,630.1299
10/17/79,630.23
10/18/79,632.0098
10/19/79,641.4099
10/22/79,647.3799
10/23/79,639.4199
10/24/79,628.0898
10/25/79,632.8699
10/26/79,620.1699
10/29/79,624.0098
10/30/79,628.3799
10/31/79,631.74
11/1/79,631.3899
11/2/79,636.7698
11/5/79,640.4199
11/6/79,643.6899
11/7/79,651.8298
11/8/79,649.21
11/9/79,656.8398
11/12/79,665.99
11/13/79,662.8999
11/14/79,670.75
11/15/79,667.3499
11/16/79,671.2
11/19/79,665.6499
11/20/79,675.71
11/21/79,682.4199
11/23/79,680.75
11/26/79,667.23
11/27/79,669.0798
11/28/79,664.72
11/29/79,666.0898
11/30/79,675.5298
12/3/79,677.8098
12/4/79,668.7898
12/5/79,670.1199
12/6/79,657.0298
12/7/79,656.22
12/10/79,658.1899
12/11/79,670.4199
12/12/79,676.73
12/13/79,674.95
12/14/79,680.1299
12/17/79,684.0898
12/18/79,680.1399
12/19/79,677.6299
12/20/79,678.8499
12/21/79,684.7598
12/26/79,690.5999
12/27/79,685.8198
12/28/79,689.8398
12/31/79,686.5598
1/2/80,692.3999
1/3/80,695.0999
1/4/80,693.45
1/7/80,684.3899
1/8/80,677.0798
1/9/80,672.74
1/10/80,673.5598
1/11/80,678.6399
1/14/80,683.1599
1/15/80,688.6699
1/16/80,697
1/17/80,707.8398
1/18/80,712.2798
1/21/80,712.99
1/22/80,715.0498
1/23/80,711.1099
1/24/80,711.45
1/25/80,708.5398
1/28/80,703.96
1/29/80,718.1199
1/30/80,726.6299
1/31/80,727.9199
2/1/80,729.6599
2/4/80,736.6799
2/5/80,733.1099
2/6/80,738.96
2/7/80,736.0298
2/8/80,750.4099
2/11/80,762.2798
2/12/80,756.3499
2/13/80,760.5398
2/14/80,755.0298
2/15/80,745.3198
2/19/80,736.8298
2/20/80,732.8398
2/21/80,739.7898
2/22/80,725.3298
2/25/80,723.5598
2/26/80,722.5198
2/27/80,719.3198
2/28/80,723.3499
2/29/80,721.1899
3/3/80,731.1199
3/4/80,733.3499
3/5/80,734.3599
3/6/80,720.5898
3/7/80,712.3398
3/10/80,687.49
3/11/80,692.6199
